level,mean_pred,mean_actual,n_fac_years,covariate
Single-Walled,0.0209,0.0209,972393,Wall Type
Double-Walled,0.0126,0.0126,276457,Wall Type
Pre-1980 = No,0.0169,0.0169,725463,Pre-1980 Vintage
Pre-1980 = Yes,0.0221,0.0221,523387,Pre-1980 Vintage
0-4,0.0204,0.0204,183762,Tank Age (5-yr bins)
10-14,0.0179,0.0179,291535,Tank Age (5-yr bins)
5-9,0.014,0.014,282023,Tank Age (5-yr bins)
20-24,0.0229,0.0229,211438,Tank Age (5-yr bins)
15-19,0.0216,0.0216,226283,Tank Age (5-yr bins)
25-29,0.0216,0.0216,53809,Tank Age (5-yr bins)
